Without usable ace.
12 2 -0.274401;12 3 -0.213784;12 4 -0.168052;12 5 -0.112433;12 6 -0.146532;12 7 -0.259099;12 8 -0.269575;12 9 -0.407447;12 10 -0.417126;12 11 -0.542878
13 2 -0.336744;13 3 -0.249544;13 4 -0.169736;13 5 -0.100901;13 6 -0.170427;13 7 -0.243613;13 8 -0.320224;13 9 -0.371853;13 10 -0.448262;13 11 -0.562017
14 2 -0.289538;14 3 -0.263951;14 4 -0.149834;14 5 -0.123297;14 6 -0.148751;14 7 -0.367872;14 8 -0.381424;14 9 -0.404551;14 10 -0.507629;14 11 -0.605476
15 2 -0.258753;15 3 -0.20794;15 4 -0.192037;15 5 -0.121339;15 6 -0.184149;15 7 -0.380765;15 8 -0.396365;15 9 -0.460261;15 10 -0.532357;15 11 -0.624528
16 2 -0.28819;16 3 -0.244656;16 4 -0.172198;16 5 -0.133904;16 6 -0.164211;16 7 -0.382674;16 8 -0.420985;16 9 -0.511658;16 10 -0.594076;16 11 -0.642443
17 2 -0.170252;17 3 -0.114704;17 4 -0.0639757;17 5 -0.0442502;17 6 -0.000239238;17 7 -0.100262;17 8 -0.375745;17 9 -0.387836;17 10 -0.443633;17 11 -0.610555
18 2 0.134716;18 3 0.130993;18 4 0.17175;18 5 0.212362;18 6 0.301233;18 7 0.408748;18 8 0.111668;18 9 -0.180385;18 10 -0.256854;18 11 -0.433563
19 2 0.410505;19 3 0.390333;19 4 0.432928;19 5 0.427727;19 6 0.5113;19 7 0.624641;19 8 0.570304;19 9 0.27873;19 10 0.0150593;19 11 -0.0790721
20 2 0.620851;20 3 0.66089;20 4 0.623356;20 5 0.69388;20 6 0.718699;20 7 0.754873;20 8 0.793004;20 9 0.757374;20 10 0.411388;20 11 0.139169
21 2 0.79637;21 3 0.772337;21 4 0.761578;21 5 0.744227;21 6 0.784322;21 7 0.905934;21 8 0.924304;21 9 0.927352;21 10 0.886206;21 11 0.64048

With usable ace.
12 2 0.00329947;12 3 0.0292333;12 4 0.041568;12 5 0.0691599;12 6 0.0812285;12 7 0.0230819;12 8 -0.000106176;12 9 -0.0122018;12 10 -0.0737394;12 11 -0.0529322
13 2 0.00673002;13 3 0.0607247;13 4 0.0647528;13 5 0.0926366;13 6 0.0861582;13 7 0.104326;13 8 -0.0132245;13 9 -0.0393801;13 10 -0.164415;13 11 -0.162297
14 2 -0.00309668;14 3 0.0222611;14 4 0.0407477;14 5 0.0574909;14 6 0.0789494;14 7 0.0201302;14 8 0.00480332;14 9 -0.0431241;14 10 -0.191154;14 11 -0.154826
15 2 -0.0130184;15 3 -0.0105541;15 4 0.0392855;15 5 0.0698486;15 6 0.103704;15 7 -0.00608629;15 8 -0.054092;15 9 -0.0967535;15 10 -0.24772;15 11 -0.163879
16 2 -0.0462062;16 3 0.0156176;16 4 -0.00497695;16 5 0.0615268;16 6 0.0530033;16 7 -0.00612285;16 8 -0.0758933;16 9 -0.118307;16 10 -0.243696;16 11 -0.19121
17 2 -0.0279671;17 3 -0.0303133;17 4 0.0260201;17 5 0.131193;17 6 0.112737;17 7 -0.0372155;17 8 -0.0476286;17 9 -0.11846;17 10 -0.267104;17 11 -0.206287
18 2 0.0975445;18 3 0.0842;18 4 0.113532;18 5 0.169092;18 6 0.197055;18 7 0.290859;18 8 0.121356;18 9 -0.0856612;18 10 -0.200796;18 11 -0.148542
19 2 0.298555;19 3 0.31007;19 4 0.283;19 5 0.371568;19 6 0.378032;19 7 0.485845;19 8 0.475629;19 9 0.200937;19 10 0.0170964;19 11 -0.0681802
20 2 0.491405;20 3 0.486538;20 4 0.545619;20 5 0.575763;20 6 0.569723;20 7 0.620549;20 8 0.147866;20 9 0.594887;20 10 0.457806;20 11 0.11422
21 2 0.875085;21 3 0.87784;21 4 0.868762;21 5 0.887797;21 6 0.88413;21 7 0.910299;21 8 0.919994;21 9 0.920292;21 10 0.902647;21 11 0.611665
